"In","Age","Nat.","Position","Pos","Market value","Left","Left","Fee","Team","team_logo"
"Martín ZubimendiM. Zubimendi",26,NA,"Defensive Midfield","DM","€60.00m",NA,"Real Sociedad","€70.00m","Arsenal","https://tmssl.akamaized.net//images/wappen/homepageSmall/11.png?lm=1489787850"
"Eberechi EzeE. Eze",27,NA,"Attacking Midfield","AM","€55.00m",NA,"Crystal Palace","€69.30m","Arsenal","https://tmssl.akamaized.net//images/wappen/homepageSmall/11.png?lm=1489787850"
"Viktor GyökeresV. Gyökeres",27,NA,"Centre-Forward","CF","€75.00m",NA,"Sporting","€65.80m","Arsenal","https://tmssl.akamaized.net//images/wappen/homepageSmall/11.png?lm=1489787850"
"Noni MaduekeN. Madueke",23,NA,"Right Winger","RW","€40.00m",NA,"Chelsea","€56.00m","Arsenal","https://tmssl.akamaized.net//images/wappen/homepageSmall/11.png?lm=1489787850"
"Cristhian MosqueraC. Mosquera",21,NA,"Centre-Back","CB","€30.00m",NA,"Valencia","€15.00m","Arsenal","https://tmssl.akamaized.net//images/wappen/homepageSmall/11.png?lm=1489787850"
"Christian NørgaardC. Nørgaard",31,NA,"Defensive Midfield","DM","€11.00m",NA,"Brentford","€11.60m","Arsenal","https://tmssl.akamaized.net//images/wappen/homepageSmall/11.png?lm=1489787850"
"Kepa ArrizabalagaK. Arrizabalaga",30,NA,"Goalkeeper","GK","€10.00m",NA,"Chelsea","€5.80m","Arsenal","https://tmssl.akamaized.net//images/wappen/homepageSmall/11.png?lm=1489787850"
"Piero HincapiéP. Hincapié",23,NA,"Centre-Back","CB","€50.00m",NA,"Leverkusen","loan transfer","Arsenal","https://tmssl.akamaized.net//images/wappen/homepageSmall/11.png?lm=1489787850"
"Fábio VieiraF. Vieira",25,NA,"Attacking Midfield","AM","€22.00m",NA,"Porto","End of loan30.06.2025","Arsenal","https://tmssl.akamaized.net//images/wappen/homepageSmall/11.png?lm=1489787850"
"Max DowmanM. Dowman",15,NA,"Right Winger","RW","-",NA,"Arsenal U18","-","Arsenal","https://tmssl.akamaized.net//images/wappen/homepageSmall/11.png?lm=1489787850"
"MarquinhosMarquinhos",22,NA,"Right Winger","RW","€5.50m",NA,"Cruzeiro","End of loan30.06.2025","Arsenal","https://tmssl.akamaized.net//images/wappen/homepageSmall/11.png?lm=1489787850"
"Reiss NelsonR. Nelson",25,NA,"Left Winger","LW","€16.00m",NA,"Fulham","End of loan30.06.2025","Arsenal","https://tmssl.akamaized.net//images/wappen/homepageSmall/11.png?lm=1489787850"
"Karl HeinKarl Hein",23,NA,"Goalkeeper","GK","€3.00m",NA,"Real Valladolid","End of loan30.06.2025","Arsenal","https://tmssl.akamaized.net//images/wappen/homepageSmall/11.png?lm=1489787850"
"Nuno TavaresN. Tavares",25,NA,"Left-Back","LB","€25.00m",NA,"Lazio","End of loan30.06.2025","Arsenal","https://tmssl.akamaized.net//images/wappen/homepageSmall/11.png?lm=1489787850"
"Albert Sambi LokongaA. Sambi Lokonga",25,NA,"Central Midfield","CM","€8.00m",NA,"Sevilla FC","End of loan30.06.2025","Arsenal","https://tmssl.akamaized.net//images/wappen/homepageSmall/11.png?lm=1489787850"
"Evann GuessandE. Guessand",24,NA,"Centre-Forward","CF","€25.00m",NA,"Nice","€30.00m","Aston Villa","https://tmssl.akamaized.net//images/wappen/homepageSmall/405.png?lm=1717155982"
"Marco BizotM. Bizot",34,NA,"Goalkeeper","GK","€3.00m",NA,"Stade Brestois","€500k","Aston Villa","https://tmssl.akamaized.net//images/wappen/homepageSmall/405.png?lm=1717155982"
"Victor LindelöfV. Lindelöf",31,NA,"Centre-Back","CB","€8.00m",NA,"Man Utd","free transfer","Aston Villa","https://tmssl.akamaized.net//images/wappen/homepageSmall/405.png?lm=1717155982"
"Jadon SanchoJ. Sancho",25,NA,"Left Winger","LW","€28.00m",NA,"Man Utd","loan transfer","Aston Villa","https://tmssl.akamaized.net//images/wappen/homepageSmall/405.png?lm=1717155982"
"Harvey ElliottH. Elliott",22,NA,"Attacking Midfield","AM","€30.00m",NA,"Liverpool","loan transfer","Aston Villa","https://tmssl.akamaized.net//images/wappen/homepageSmall/405.png?lm=1717155982"
"Oliwier ZychO. Zych",21,NA,"Goalkeeper","GK","€800k",NA,"Aston Villa U21","-","Aston Villa","https://tmssl.akamaized.net//images/wappen/homepageSmall/405.png?lm=1717155982"
"Philippe CoutinhoP. Coutinho",33,NA,"Attacking Midfield","AM","€4.50m",NA,"Vasco da Gama","End of loan30.06.2025","Aston Villa","https://tmssl.akamaized.net//images/wappen/homepageSmall/405.png?lm=1717155982"
"Samuel Iling-JuniorS. Iling-Junior",21,NA,"Left-Back","LB","€10.00m",NA,"Middlesbrough","End of loan30.06.2025","Aston Villa","https://tmssl.akamaized.net//images/wappen/homepageSmall/405.png?lm=1717155982"
"Joe GauciJoe Gauci",24,NA,"Goalkeeper","GK","€1.50m",NA,"Barnsley","End of loan30.06.2025","Aston Villa","https://tmssl.akamaized.net//images/wappen/homepageSmall/405.png?lm=1717155982"
"Emiliano BuendíaE. Buendía",28,NA,"Attacking Midfield","AM","€15.00m",NA,"Leverkusen","End of loan30.06.2025","Aston Villa","https://tmssl.akamaized.net//images/wappen/homepageSmall/405.png?lm=1717155982"
"Lewis DobbinL. Dobbin",22,NA,"Left Winger","LW","€2.50m",NA,"Norwich","End of loan30.06.2025","Aston Villa","https://tmssl.akamaized.net//images/wappen/homepageSmall/405.png?lm=1717155982"
"Lewis DobbinL. Dobbin",23,NA,"Left Winger","LW","€2.50m",NA,"Preston","End of loan31.05.2026","Aston Villa","https://tmssl.akamaized.net//images/wappen/homepageSmall/405.png?lm=1717155982"
"Leander DendonckerL. Dendoncker",30,NA,"Defensive Midfield","DM","€4.50m",NA,"RSC Anderlecht","End of loan30.06.2025","Aston Villa","https://tmssl.akamaized.net//images/wappen/homepageSmall/405.png?lm=1717155982"
"Enzo BarrenecheaE. Barrenechea",24,NA,"Defensive Midfield","DM","€10.00m",NA,"Valencia","End of loan30.06.2025","Aston Villa","https://tmssl.akamaized.net//images/wappen/homepageSmall/405.png?lm=1717155982"
"Álex MorenoÁ. Moreno",32,NA,"Left-Back","LB","€7.00m",NA,"Nott'm Forest","End of loan30.06.2025","Aston Villa","https://tmssl.akamaized.net//images/wappen/homepageSmall/405.png?lm=1717155982"
"Kaine Kesler-HaydenK. Kesler-Hayden",22,NA,"Right-Back","RB","€2.50m",NA,"Preston","End of loan30.06.2025","Aston Villa","https://tmssl.akamaized.net//images/wappen/homepageSmall/405.png?lm=1717155982"
"Filip MarschallF. Marschall",22,NA,"Goalkeeper","GK","€800k",NA,"Crewe Alexandra","End of loan30.06.2025","Aston Villa","https://tmssl.akamaized.net//images/wappen/homepageSmall/405.png?lm=1717155982"
"Bafodé DiakitéB. Diakité",24,NA,"Centre-Back","CB","€28.00m",NA,"Lille","€35.00m","AFC Bournemouth","https://tmssl.akamaized.net//images/wappen/homepageSmall/989.png?lm=1457991811"
"Djordje PetrovicD. Petrovic",25,NA,"Goalkeeper","GK","€20.00m",NA,"Chelsea","€28.90m","AFC Bournemouth","https://tmssl.akamaized.net//images/wappen/homepageSmall/989.png?lm=1457991811"
"Ben DoakBen Doak",19,NA,"Right Winger","RW","€14.00m",NA,"Liverpool","€23.20m","AFC Bournemouth","https://tmssl.akamaized.net//images/wappen/homepageSmall/989.png?lm=1457991811"
"Amine AdliA. Adli",25,NA,"Left Winger","LW","€18.00m",NA,"Leverkusen","€21.00m","AFC Bournemouth","https://tmssl.akamaized.net//images/wappen/homepageSmall/989.png?lm=1457991811"
"Veljko MilosavljevicV. Milosavljevic",18,NA,"Centre-Back","CB","€1.00m",NA,"Red Star","€15.00m","AFC Bournemouth","https://tmssl.akamaized.net//images/wappen/homepageSmall/989.png?lm=1457991811"
"Adrien TruffertA. Truffert",23,NA,"Left-Back","LB","€15.00m",NA,"Stade Rennais","€13.50m","AFC Bournemouth","https://tmssl.akamaized.net//images/wappen/homepageSmall/989.png?lm=1457991811"
"Álex JiménezÁ. Jiménez",20,NA,"Right-Back","RB","€15.00m",NA,"AC Milan","Loan fee:€1.50m","AFC Bournemouth","https://tmssl.akamaized.net//images/wappen/homepageSmall/989.png?lm=1457991811"
"Callan McKennaC. McKenna",18,NA,"Goalkeeper","GK","€600k",NA,"Bournemouth U21","-","AFC Bournemouth","https://tmssl.akamaized.net//images/wappen/homepageSmall/989.png?lm=1457991811"
"Owen BevanO. Bevan",21,NA,"Centre-Back","CB","-",NA,"Bournemouth U21","-","AFC Bournemouth","https://tmssl.akamaized.net//images/wappen/homepageSmall/989.png?lm=1457991811"
"Ben WinterburnB. Winterburn",20,NA,"Defensive Midfield","DM","€500k",NA,"Bournemouth U21","-","AFC Bournemouth","https://tmssl.akamaized.net//images/wappen/homepageSmall/989.png?lm=1457991811"
"Joe RothwellJ. Rothwell",30,NA,"Central Midfield","CM","€1.80m",NA,"Leeds","End of loan30.06.2025","AFC Bournemouth","https://tmssl.akamaized.net//images/wappen/homepageSmall/989.png?lm=1457991811"
"Alex PaulsenA. Paulsen",22,NA,"Goalkeeper","GK","€750k",NA,"Auckland FC","End of loan30.06.2025","AFC Bournemouth","https://tmssl.akamaized.net//images/wappen/homepageSmall/989.png?lm=1457991811"
"Ben WinterburnB. Winterburn",21,NA,"Defensive Midfield","DM","€500k",NA,"Barnet","End of loan31.05.2026","AFC Bournemouth","https://tmssl.akamaized.net//images/wappen/homepageSmall/989.png?lm=1457991811"
"Romain FaivreR. Faivre",26,NA,"Attacking Midfield","AM","€6.00m",NA,"Stade Brestois","End of loan30.06.2025","AFC Bournemouth","https://tmssl.akamaized.net//images/wappen/homepageSmall/989.png?lm=1457991811"
"Hamed TraoréH. Traoré",25,NA,"Left Winger","LW","€20.00m",NA,"AJ Auxerre","End of loan30.06.2025","AFC Bournemouth","https://tmssl.akamaized.net//images/wappen/homepageSmall/989.png?lm=1457991811"
